ID,Place,Description,Rating
20, Dhauli ," Dhauli is a small town 8 Km away south of Bhubaneswar, located on the bank of river Daya and holds great significance for the followers of lord Buddha. Dhauli is said to be the witness of the reform of Ashoka's character. ",3.8
21, Rayagada ," Rayagada is a district in Odisha with a rich history and a distinct culture which has, over the years, mingled with the local tribal culture. This district has many historical places to visit and is known for its cuisine, crafts and handmade products. ",5
22, Udayagiri and Khandagiri Caves ," Near Bhubaneswar lie the Udaygiri and Khandagiri Caves, carved around 1st century B.C. by Kharavela and successors. These 18 caves, 13 in Udaygiri and 15 in Khandagiri served as retreats for Jain ascetics seeking solitude. ",
23, Sri Jagannath Puri Temple ," Located in the sacred town of Puri, the Jagannath Temple or the pride of India was built in the 11th century by King Indradyumna. This glorious temple is the abode of Lord Jagannath who is a form of Lord Vishnu. It is the most revered pilgrimage site for Hindus and is included in the pious Char Dham... ",
24, Chilika Bird Festival , The Chilika Bird Festival is an annual celebration timed to coincide with the majestic congregation of 10 lakhs winged visitors representing 200 species at Mangalajodi during the winters in Odisha. This unique event allows participants to immerse themselves in the rich auditory tapestry created by t... ,
25, Putsil ," Putsil, a serene village nestled in Semiliguda Tehsil, Koraput District, Odisha, India, is situated 31 km south of the district headquarters Koraput and approximately 425 km from the state capital, Bhubaneswar. It shares its borders with Sunabeda Tehsil to the north, Pottangi Tehsil to the east, Nan... ",
26, Solapur ," Solapur, situated in the Bhandaripokhari Tehsil of Bhadrak District, Odisha, stands as a small yet significant village in the region. Located 21 km west of Bhadrak's district headquarters and 12 km from Bhandaripokhari, Solapur plays a crucial role as it straddles the border between Bhadrak and Jaja... ",
27, Mangalajodi ," Nestled on the northern banks of Chilika Lake in Odisha, Mangalajodi stands as a remarkable example of community-owned and managed wildlife conservation through ecotourism. Recognized as 'The Bird’s Paradise,' this village is a haven for avian enthusiasts, drawing over 300,000 birds, especially duri... ",
28, Nalbana Bird Sanctuary ," Nalbana Bird Sanctuary is situated on the Nalbana Island in Odisha, which is a part of the Chilika Lake- India’s largest brackish water lagoon. It is known for the large green spaces of land that are the refuge points of several migratory birds that flock here every year during the winter season. Fo... ",
29, Raghurajpur Artist Village ," Raghurajpur village is a heritage crafts village near Puri, known for Pattachitra paintings, as well as other art forms like palm leaf paintings, wood and stone carvings, papier mache, masks, coconut crafts, and Gotipua folk dance, the predecessor of classical Odissi dance style. The village is also... ",
